Protocol,Source IP,Destination IP,Source Port,Destination Port,Packet Size,Capture Time
TCP,192.168.18.11,20.184.175.18,60357,443,66,2026-07-11 09:10:24
TCP,2400:adc3:905:3200:75c6:6720:e186:2333,2001:4860:482c:7700::,59027,443,1486,2026-07-11 09:10:24
TCP,2400:adc3:905:3200:75c6:6720:e186:2333,2001:4860:482c:7700::,59027,443,1071,2026-07-11 09:10:24
TCP,2400:adc3:905:3200:75c6:6720:e186:2333,2001:4860:482c:7700::,59027,443,1486,2026-07-11 09:10:24
TCP,2400:adc3:905:3200:75c6:6720:e186:2333,2001:4860:482c:7700::,59027,443,1486,2026-07-11 09:10:24
TCP,2400:adc3:905:3200:75c6:6720:e186:2333,2001:4860:482c:7700::,59027,443,1486,2026-07-11 09:10:24
TCP,2400:adc3:905:3200:75c6:6720:e186:2333,2001:4860:482c:7700::,59027,443,1486,2026-07-11 09:10:24
TCP,2400:adc3:905:3200:75c6:6720:e186:2333,2001:4860:482c:7700::,59027,443,1486,2026-07-11 09:10:24
TCP,2400:adc3:905:3200:75c6:6720:e186:2333,2001:4860:482c:7700::,59027,443,1486,2026-07-11 09:10:24
TCP,2400:adc3:905:3200:75c6:6720:e186:2333,2001:4860:482c:7700::,59027,443,1486,2026-07-11 09:10:24
TCP,2400:adc3:905:3200:75c6:6720:e186:2333,2001:4860:482c:7700::,59027,443,1486,2026-07-11 09:10:24
TCP,2400:adc3:905:3200:75c6:6720:e186:2333,2001:4860:482c:7700::,59027,443,1486,2026-07-11 09:10:24
TCP,2400:adc3:905:3200:75c6:6720:e186:2333,2001:4860:482c:7700::,59027,443,217,2026-07-11 09:10:24
TCP,54.83.49.211,192.168.18.11,443,60349,78,2026-07-11 09:10:24
TCP,54.83.49.211,192.168.18.11,443,60349,54,2026-07-11 09:10:24
TCP,192.168.18.11,54.83.49.211,60349,443,54,2026-07-11 09:10:24
UDP,2a00:1450:4018:812::2003,2400:adc3:905:3200:75c6:6720:e186:2333,443,63824,102,2026-07-11 09:10:24
UDP,2a00:1450:4018:812::2003,2400:adc3:905:3200:75c6:6720:e186:2333,443,63824,1292,2026-07-11 09:10:24
TCP,2001:4860:482c:7700::,2400:adc3:905:3200:75c6:6720:e186:2333,443,59027,74,2026-07-11 09:10:24
TCP,2001:4860:482c:7700::,2400:adc3:905:3200:75c6:6720:e186:2333,443,59027,74,2026-07-11 09:10:24
TCP,2001:4860:482c:7700::,2400:adc3:905:3200:75c6:6720:e186:2333,443,59027,74,2026-07-11 09:10:24
TCP,2001:4860:482c:7700::,2400:adc3:905:3200:75c6:6720:e186:2333,443,59027,74,2026-07-11 09:10:24
UDP,2400:adc3:905:3200:75c6:6720:e186:2333,2a00:1450:4018:812::2003,63824,443,1292,2026-07-11 09:10:24
UDP,2a00:1450:4018:812::2003,2400:adc3:905:3200:75c6:6720:e186:2333,443,63824,1292,2026-07-11 09:10:24
UDP,2a00:1450:4018:812::2003,2400:adc3:905:3200:75c6:6720:e186:2333,443,63824,1292,2026-07-11 09:10:24
UDP,2a00:1450:4018:812::2003,2400:adc3:905:3200:75c6:6720:e186:2333,443,63824,340,2026-07-11 09:10:24
UDP,2a00:1450:4018:812::2003,2400:adc3:905:3200:75c6:6720:e186:2333,443,63824,1006,2026-07-11 09:10:24
UDP,2400:adc3:905:3200:75c6:6720:e186:2333,2a00:1450:4018:812::2003,63824,443,140,2026-07-11 09:10:24
UDP,2400:adc3:905:3200:75c6:6720:e186:2333,2a00:1450:4018:812::2003,63824,443,93,2026-07-11 09:10:24
UDP,2a00:1450:4018:812::2003,2400:adc3:905:3200:75c6:6720:e186:2333,443,63824,87,2026-07-11 09:10:24
UDP,2a00:1450:4018:812::2003,2400:adc3:905:3200:75c6:6720:e186:2333,443,63824,84,2026-07-11 09:10:24
TCP,2001:4860:482c:7700::,2400:adc3:905:3200:75c6:6720:e186:2333,443,59027,1294,2026-07-11 09:10:24
TCP,2001:4860:482c:7700::,2400:adc3:905:3200:75c6:6720:e186:2333,443,59027,331,2026-07-11 09:10:24
TCP,2001:4860:482c:7700::,2400:adc3:905:3200:75c6:6720:e186:2333,443,59027,2514,2026-07-11 09:10:24
TCP,2001:4860:482c:7700::,2400:adc3:905:3200:75c6:6720:e186:2333,443,59027,406,2026-07-11 09:10:24
TCP,2001:4860:482c:7700::,2400:adc3:905:3200:75c6:6720:e186:2333,443,59027,113,2026-07-11 09:10:24
TCP,2400:adc3:905:3200:75c6:6720:e186:2333,2001:4860:482c:7700::,59027,443,86,2026-07-11 09:10:24
TCP,2400:adc3:905:3200:75c6:6720:e186:2333,2001:4860:482c:7700::,59027,443,74,2026-07-11 09:10:24
TCP,2400:adc3:905:3200:75c6:6720:e186:2333,2001:4860:482c:7700::,59027,443,74,2026-07-11 09:10:24
TCP,2400:adc3:905:3200:75c6:6720:e186:2333,2001:4860:482c:7700::,59027,443,113,2026-07-11 09:10:24
UDP,2400:adc3:905:3200:75c6:6720:e186:2333,2a00:1450:4018:812::2003,63824,443,94,2026-07-11 09:10:24
UDP,2a00:1450:4018:812::2003,2400:adc3:905:3200:75c6:6720:e186:2333,443,63824,182,2026-07-11 09:10:24
TCP,2001:4860:482c:7700::,2400:adc3:905:3200:75c6:6720:e186:2333,443,59027,74,2026-07-11 09:10:24
UDP,2400:adc3:905:3200:75c6:6720:e186:2333,2001:4860:4828:7700::,59833,443,1292,2026-07-11 09:10:24
UDP,2400:adc3:905:3200:75c6:6720:e186:2333,2001:4860:4828:7700::,59833,443,1292,2026-07-11 09:10:24
UDP,2400:adc3:905:3200:75c6:6720:e186:2333,2001:4860:4828:7700::,59833,443,1292,2026-07-11 09:10:24
UDP,2400:adc3:905:3200:75c6:6720:e186:2333,2001:4860:4828:7700::,59833,443,141,2026-07-11 09:10:24
UDP,2400:adc3:905:3200:75c6:6720:e186:2333,2a00:1450:4018:812::2003,63824,443,94,2026-07-11 09:10:24
UDP,2001:4860:4828:7700::,2400:adc3:905:3200:75c6:6720:e186:2333,443,59833,102,2026-07-11 09:10:24
UDP,2001:4860:4828:7700::,2400:adc3:905:3200:75c6:6720:e186:2333,443,59833,102,2026-07-11 09:10:24
