Protocol,Source IP,Destination IP,Source Port,Destination Port,Packet Size,Capture Time
TCP,192.168.18.11,34.49.141.240,59053,443,54,2026-07-13 12:42:07
TCP,34.49.141.240,192.168.18.11,443,59053,54,2026-07-13 12:42:08
TCP,192.168.18.11,34.49.141.240,59053,443,54,2026-07-13 12:42:08
UDP,fe80::655f:8f2e:eb44:c213,fe80::1,61603,53,91,2026-07-13 12:42:08
UDP,fe80::655f:8f2e:eb44:c213,fe80::1,64295,53,91,2026-07-13 12:42:08
UDP,fe80::655f:8f2e:eb44:c213,fe80::1,59647,53,91,2026-07-13 12:42:08
TCP,2400:adc3:905:3200:793b:e632:8791:bc0a,2606:4700:4408::ac40:9bd1,58404,443,1434,2026-07-13 12:42:08
TCP,2400:adc3:905:3200:793b:e632:8791:bc0a,2606:4700:4408::ac40:9bd1,58404,443,1434,2026-07-13 12:42:08
TCP,2400:adc3:905:3200:793b:e632:8791:bc0a,2606:4700:4408::ac40:9bd1,58404,443,1434,2026-07-13 12:42:08
TCP,2400:adc3:905:3200:793b:e632:8791:bc0a,2606:4700:4408::ac40:9bd1,58404,443,1434,2026-07-13 12:42:08
TCP,2400:adc3:905:3200:793b:e632:8791:bc0a,2606:4700:4408::ac40:9bd1,58404,443,1434,2026-07-13 12:42:08
TCP,2400:adc3:905:3200:793b:e632:8791:bc0a,2606:4700:4408::ac40:9bd1,58404,443,1434,2026-07-13 12:42:08
TCP,2400:adc3:905:3200:793b:e632:8791:bc0a,2606:4700:4408::ac40:9bd1,58404,443,126,2026-07-13 12:42:08
TCP,2400:adc3:905:3200:793b:e632:8791:bc0a,2606:4700:4408::ac40:9bd1,58404,443,113,2026-07-13 12:42:08
TCP,2400:adc3:905:3200:793b:e632:8791:bc0a,2606:4700:4408::ac40:9bd1,58404,443,1434,2026-07-13 12:42:08
TCP,2400:adc3:905:3200:793b:e632:8791:bc0a,2606:4700:4408::ac40:9bd1,58404,443,1434,2026-07-13 12:42:08
TCP,2400:adc3:905:3200:793b:e632:8791:bc0a,2606:4700:4408::ac40:9bd1,58404,443,1434,2026-07-13 12:42:08
TCP,2400:adc3:905:3200:793b:e632:8791:bc0a,2606:4700:4408::ac40:9bd1,58404,443,1434,2026-07-13 12:42:08
TCP,2400:adc3:905:3200:793b:e632:8791:bc0a,2606:4700:4408::ac40:9bd1,58404,443,1268,2026-07-13 12:42:08
UDP,fe80::1,fe80::655f:8f2e:eb44:c213,53,61603,169,2026-07-13 12:42:08
TCP,2606:4700:4408::ac40:9bd1,2400:adc3:905:3200:793b:e632:8791:bc0a,443,58404,74,2026-07-13 12:42:08
TCP,2606:4700:4408::ac40:9bd1,2400:adc3:905:3200:793b:e632:8791:bc0a,443,58404,74,2026-07-13 12:42:08
TCP,2606:4700:4408::ac40:9bd1,2400:adc3:905:3200:793b:e632:8791:bc0a,443,58404,74,2026-07-13 12:42:08
UDP,fe80::1,fe80::655f:8f2e:eb44:c213,53,64295,147,2026-07-13 12:42:08
UDP,fe80::1,fe80::655f:8f2e:eb44:c213,53,59647,123,2026-07-13 12:42:08
TCP,2606:4700:4408::ac40:9bd1,2400:adc3:905:3200:793b:e632:8791:bc0a,443,58404,74,2026-07-13 12:42:08
TCP,2606:4700:4408::ac40:9bd1,2400:adc3:905:3200:793b:e632:8791:bc0a,443,58404,74,2026-07-13 12:42:08
TCP,2606:4700:4408::ac40:9bd1,2400:adc3:905:3200:793b:e632:8791:bc0a,443,58404,74,2026-07-13 12:42:08
TCP,2606:4700:4408::ac40:9bd1,2400:adc3:905:3200:793b:e632:8791:bc0a,443,58404,74,2026-07-13 12:42:08
TCP,2606:4700:4408::ac40:9bd1,2400:adc3:905:3200:793b:e632:8791:bc0a,443,58404,113,2026-07-13 12:42:08
TCP,2606:4700:4408::ac40:9bd1,2400:adc3:905:3200:793b:e632:8791:bc0a,443,58404,74,2026-07-13 12:42:08
TCP,2606:4700:4408::ac40:9bd1,2400:adc3:905:3200:793b:e632:8791:bc0a,443,58404,74,2026-07-13 12:42:08
